Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree
2025-09-10 12:55:53.456,SHORT,12.600000000002183,5670.000000000982,TIME,2.28
2025-09-10 13:32:30.979,SHORT,4.599999999998545,2069.999999999345,TIME,2.44
2025-09-10 14:08:34.520,SHORT,11.0,4950.0,TIME,2.28
2025-09-10 14:44:04.538,SHORT,-21.0,-9450.0,SL,2.56
2025-09-10 14:56:43.093,SHORT,-21.0,-9450.0,SL,2.28
2025-09-11 09:15:47.095,SHORT,-23.200000000000728,-10440.000000000327,SL,2.76
2025-09-11 09:24:13.706,LONG,-22.099999999998545,-9944.999999999345,SL,2.36
2025-09-11 09:46:45.008,SHORT,3.2999999999992724,1484.9999999996726,TIME,2.36
2025-09-11 10:25:39.666,SHORT,-12.900000000001455,-5805.000000000655,TIME,2.12
2025-09-11 11:13:32.902,SHORT,14.5,6525.0,TIME,2.12
2025-09-11 11:51:34.495,SHORT,-21.0,-9450.0,SL,2.28
2025-09-11 12:19:43.461,LONG,2.7000000000007276,1215.0000000003274,TIME,2.44
2025-09-11 12:56:17.998,SHORT,5.399999999997817,2429.9999999990177,TIME,2.12
2025-09-11 13:32:11.212,SHORT,1.0,450.0,TIME,2.24
2025-09-11 14:11:54.671,SHORT,-4.0,-1800.0,TIME,2.12
2025-09-11 14:52:19.553,SHORT,3.0,1350.0,TIME,2.2
2025-09-12 09:15:27.744,LONG,-21.700000000000728,-9765.000000000327,SL,3.32
2025-09-12 09:31:31.207,SHORT,-13.0,-5850.0,TIME,2.44
2025-09-12 10:07:21.016,SHORT,-3.7999999999992724,-1709.9999999996726,TIME,2.2
2025-09-12 10:43:20.823,LONG,6.099999999998545,2744.999999999345,TIME,2.2
2025-09-12 11:19:14.895,SHORT,-21.0,-9450.0,SL,2.28
2025-09-12 11:36:18.530,SHORT,1.0999999999985448,494.99999999934516,TIME,2.16
2025-09-12 12:12:50.385,SHORT,-2.2000000000007276,-990.0000000003274,TIME,2.0
2025-09-12 12:50:33.350,SHORT,-12.900000000001455,-5805.000000000655,TIME,2.24
2025-09-12 13:30:05.129,SHORT,-4.599999999998545,-2069.999999999345,TIME,2.24
2025-09-12 14:05:58.632,SHORT,15.0,6750.0,TIME,2.16
2025-09-12 14:42:09.218,SHORT,9.099999999998545,4094.999999999345,TIME,2.16
2025-09-12 15:17:43.180,LONG,4.0,1800.0,TIME,2.28
2025-09-18 09:15:41.321,LONG,13.099999999998545,5894.999999999345,TIME,2.96
