Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason
2025-09-04,2025-09-04 09:21:53.152,2025-09-04 09:22:49.371,SHORT,24950.0,24970.0,-21.0,-9450.0,VWAP_CROSS
2025-09-04,2025-09-04 09:28:18.859,2025-09-04 09:36:07.879,LONG,24980.0,25017.7,36.70000000000073,16515.000000000327,TRAIL_SL
2025-09-04,2025-09-04 09:42:15.130,2025-09-04 09:43:01.145,LONG,25005.0,24984.5,-21.5,-9675.0,SL
2025-09-04,2025-09-04 09:49:04.417,2025-09-04 10:07:03.458,LONG,25000.0,24984.4,-16.599999999998545,-7469.999999999345,VWAP_CROSS
2025-09-04,2025-09-04 10:12:49.630,2025-09-04 10:21:36.681,SHORT,24945.2,24966.0,-21.799999999999272,-9809.999999999673,SL
2025-09-04,2025-09-04 10:27:57.373,2025-09-04 10:46:43.927,SHORT,24945.5,24921.1,23.400000000001455,10530.000000000655,TRAIL_SL
2025-09-04,2025-09-04 10:57:35.944,2025-09-04 11:00:23.436,SHORT,24926.3,24946.4,-21.100000000002183,-9495.000000000982,SL
2025-09-04,2025-09-04 11:06:07.477,2025-09-04 11:36:08.224,SHORT,24940.0,24918.9,20.099999999998545,9044.999999999345,TIME
2025-09-04,2025-09-04 13:17:19.448,2025-09-04 13:47:19.538,SHORT,24922.1,24894.0,27.099999999998545,12194.999999999345,TIME
2025-09-04,2025-09-04 14:17:24.698,2025-09-04 14:47:25.605,SHORT,24865.0,24865.0,-1.0,-450.0,TIME
2025-09-05,2025-09-05 09:15:51.400,2025-09-05 09:16:22.403,LONG,24893.9,24891.6,-3.3000000000029104,-1485.0000000013097,VWAP_CROSS
2025-09-05,2025-09-05 09:22:46.115,2025-09-05 09:23:20.157,LONG,24910.0,24900.0,-11.0,-4950.0,VWAP_CROSS
2025-09-05,2025-09-05 09:30:54.205,2025-09-05 09:31:22.405,SHORT,24895.9,24897.8,-2.899999999997817,-1304.9999999990177,VWAP_CROSS
2025-09-05,2025-09-05 09:37:37.774,2025-09-05 09:52:05.644,SHORT,24885.1,24896.0,-11.900000000001455,-5355.000000000655,VWAP_CROSS
2025-09-05,2025-09-05 10:05:23.684,2025-09-05 10:11:36.926,SHORT,24870.0,24818.6,50.400000000001455,22680.000000000655,TRAIL_SL
2025-09-05,2025-09-05 10:17:05.029,2025-09-05 10:22:35.695,SHORT,24760.8,24736.9,22.899999999997817,10304.999999999018,TRAIL_SL
2025-09-05,2025-09-05 10:28:02.514,2025-09-05 10:28:53.161,SHORT,24790.1,24813.9,-24.80000000000291,-11160.00000000131,SL
2025-09-05,2025-09-05 10:35:01.174,2025-09-05 10:36:13.547,SHORT,24778.4,24799.0,-21.599999999998545,-9719.999999999345,SL
2025-09-05,2025-09-05 10:47:23.178,2025-09-05 10:57:56.573,SHORT,24804.9,24777.9,26.0,11700.0,TRAIL_SL
