Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-10-07 13:59:31.218,SHORT,25291.0,25298.6,-8.599999999998545,-3869.999999999345,STOP
2025-10-07 14:16:03.724,SHORT,25300.0,25285.0,14.0,6300.0,TARGET
2025-10-07 14:36:43.865,LONG,25242.0,25235.0,-8.0,-3600.0,STOP
2025-10-07 15:00:12.096,SHORT,25242.0,25226.8,14.200000000000728,6390.000000000327,TARGET
2025-10-07 15:22:30.401,SHORT,25220.0,25227.7,-8.700000000000728,-3915.0000000003274,STOP
2025-10-08 09:16:44.090,LONG,25207.0,25223.7,15.700000000000728,7065.000000000327,TARGET
2025-10-08 09:34:20.013,SHORT,25270.0,25278.5,-9.5,-4275.0,STOP
2025-10-08 09:53:24.944,LONG,25243.4,25259.7,15.299999999999272,6884.999999999673,TARGET
2025-10-08 10:20:07.084,SHORT,25228.0,25212.0,15.0,6750.0,TARGET
2025-10-08 10:55:50.771,LONG,25201.0,25192.3,-9.700000000000728,-4365.000000000327,STOP
2025-10-08 11:13:08.269,SHORT,25133.0,25117.0,15.0,6750.0,TARGET
2025-10-08 11:39:54.033,SHORT,25126.0,25133.0,-8.0,-3600.0,STOP
2025-10-08 12:01:28.782,SHORT,25130.0,25115.0,14.0,6300.0,TARGET
2025-10-08 12:24:03.640,SHORT,25105.4,25090.0,14.400000000001455,6480.000000000655,TARGET
2025-10-08 12:40:35.091,LONG,25117.9,25135.0,16.099999999998545,7244.999999999345,TARGET
2025-10-08 13:01:56.613,SHORT,25163.7,25174.8,-12.099999999998545,-5444.999999999345,STOP
2025-10-08 13:28:29.905,SHORT,25190.0,25197.1,-8.099999999998545,-3644.999999999345,STOP
2025-10-08 13:46:22.823,LONG,25218.3,25210.0,-9.299999999999272,-4184.999999999673,STOP
2025-10-08 14:12:58.303,SHORT,25158.0,25140.1,16.900000000001455,7605.000000000655,TARGET
2025-10-08 14:42:36.838,SHORT,25150.0,25157.4,-8.400000000001455,-3780.000000000655,STOP
2025-10-08 15:00:07.406,SHORT,25125.1,25132.6,-8.5,-3825.0,STOP
2025-10-09 09:16:01.885,LONG,25162.2,25151.2,-12.0,-5400.0,STOP
2025-10-09 09:32:56.513,LONG,25190.0,25181.3,-9.700000000000728,-4365.000000000327,STOP
2025-10-09 09:53:53.761,LONG,25145.0,25160.7,14.700000000000728,6615.000000000327,TARGET
