Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason,Cumulative PnL,Peak,Drawdown
2025-09-05,2025-09-05 12:40:59.711,2025-09-05 13:11:00.038,LONG,24740.0,24754.0,13.0,5850.0,TIME,-29790.000000008513,59939.99999999214,-89730.00000000065
2025-09-05,2025-09-05 13:18:31.862,2025-09-05 13:22:56.255,LONG,24780.0,24760.0,-21.0,-9450.0,SL,-39240.00000000851,59939.99999999214,-99180.00000000065
2025-09-05,2025-09-05 13:34:46.563,2025-09-05 13:47:23.294,LONG,24790.0,24852.0,61.0,27450.0,TP,-11790.000000008513,59939.99999999214,-71730.00000000065
2025-09-05,2025-09-05 13:53:18.016,2025-09-05 14:00:45.815,LONG,24835.0,24895.0,59.0,26550.0,TP,14759.999999991487,59939.99999999214,-45180.000000000655
2025-09-05,2025-09-05 14:09:10.566,2025-09-05 14:36:38.047,LONG,24856.0,24835.9,-21.099999999998545,-9494.999999999345,SL,5264.999999992142,59939.99999999214,-54675.0
2025-09-05,2025-09-05 14:42:53.042,2025-09-05 15:12:53.548,LONG,24840.0,24850.0,9.0,4050.0,TIME,9314.999999992142,59939.99999999214,-50625.0
2025-09-05,2025-09-05 15:19:01.317,2025-09-05 15:30:00.584,LONG,24851.4,24849.6,-2.8000000000029104,-1260.0000000013097,EOD,8054.999999990832,59939.99999999214,-51885.00000000131
2025-09-08,2025-09-08 09:15:33.099,2025-09-08 09:19:25.367,LONG,24896.9,24876.0,-21.900000000001455,-9855.000000000655,SL,-1800.0000000098225,59939.99999999214,-61740.000000001965
2025-09-08,2025-09-08 09:24:52.854,2025-09-08 09:34:51.364,LONG,24863.0,24923.1,59.099999999998545,26594.999999999345,TP,24794.999999989523,59939.99999999214,-35145.00000000262
2025-09-08,2025-09-08 09:40:42.595,2025-09-08 10:10:42.876,SHORT,24937.1,24917.9,18.19999999999709,8189.99999999869,TIME,32984.99999998821,59939.99999999214,-26955.00000000393
2025-09-08,2025-09-08 10:16:07.357,2025-09-08 10:17:50.645,SHORT,24891.7,24912.9,-22.200000000000728,-9990.000000000327,SL,22994.999999987886,59939.99999999214,-36945.00000000426
2025-09-08,2025-09-08 10:25:03.390,2025-09-08 10:31:03.144,LONG,24899.5,24877.3,-23.200000000000728,-10440.000000000327,SL,12554.999999987558,59939.99999999214,-47385.000000004584
2025-09-08,2025-09-08 10:37:16.932,2025-09-08 11:07:17.454,LONG,24877.4,24889.0,10.599999999998545,4769.999999999345,TIME,17324.999999986903,59939.99999999214,-42615.00000000524
2025-09-08,2025-09-08 11:15:32.242,2025-09-08 11:45:32.417,LONG,24915.0,24927.0,11.0,4950.0,TIME,22274.999999986903,59939.99999999214,-37665.00000000524
