Date,Time,Trading_Symbol,Instrument_Token,LTP,LTQ,Volume,Open_Interest,BestBid,BestAsk,BidSize,AskSize,DateTime
19/11/2025,12:27:52.039,NIFTY25NOVFUT,9485826,26046.0,150,2863875,17224425,26046.0,26047.0,900,225,2025-11-19 12:27:52.039
19/11/2025,12:27:52.681,NIFTY25NOVFUT,9485826,26048.0,75,2864475,17224425,26046.0,26048.0,750,225,2025-11-19 12:27:52.681
19/11/2025,12:27:52.758,NIFTY25NOVFUT,9485826,26048.0,75,2864475,17224425,26046.0,26048.0,750,225,2025-11-19 12:27:52.758
19/11/2025,12:27:53.944,NIFTY25NOVFUT,9485826,26048.0,75,2864475,17224425,26046.0,26048.0,750,225,2025-11-19 12:27:53.944
19/11/2025,12:27:54.434,NIFTY25NOVFUT,9485826,26048.0,75,2864475,17224425,26046.0,26048.0,750,225,2025-11-19 12:27:54.434
19/11/2025,12:27:54.752,NIFTY25NOVFUT,9485826,26046.0,75,2864475,17224425,26046.0,26048.0,750,225,2025-11-19 12:27:54.752
19/11/2025,12:27:55.229,NIFTY25NOVFUT,9485826,26049.1,75,2864475,17224425,26046.0,26048.0,750,225,2025-11-19 12:27:55.229
19/11/2025,12:27:55.695,NIFTY25NOVFUT,9485826,26043.4,150,2869575,17224425,26043.8,26049.3,75,75,2025-11-19 12:27:55.695
19/11/2025,12:27:56.966,NIFTY25NOVFUT,9485826,26043.4,150,2869575,17224425,26043.8,26049.3,75,75,2025-11-19 12:27:56.966
19/11/2025,12:27:59.243,NIFTY25NOVFUT,9485826,26043.4,150,2869575,17224425,26044.0,26049.6,525,75,2025-11-19 12:27:59.243
19/11/2025,12:28:00.467,NIFTY25NOVFUT,9485826,26043.4,150,2869575,17224425,26044.0,26049.6,525,75,2025-11-19 12:28:00.467
19/11/2025,12:28:00.694,NIFTY25NOVFUT,9485826,26043.4,150,2869575,17224425,26044.1,26049.0,300,150,2025-11-19 12:28:00.694
19/11/2025,12:28:01.441,NIFTY25NOVFUT,9485826,26043.4,150,2869575,17224425,26044.1,26049.0,300,150,2025-11-19 12:28:01.441
19/11/2025,12:28:02.487,NIFTY25NOVFUT,9485826,26045.0,75,2869650,17224425,26045.0,26048.0,525,300,2025-11-19 12:28:02.487
19/11/2025,12:28:02.977,NIFTY25NOVFUT,9485826,26044.2,75,2869650,17224425,26045.0,26048.0,525,300,2025-11-19 12:28:02.977
19/11/2025,12:28:04.494,NIFTY25NOVFUT,9485826,26048.0,75,2869950,17224425,26045.2,26048.0,75,225,2025-11-19 12:28:04.494
19/11/2025,12:28:06.011,NIFTY25NOVFUT,9485826,26048.0,75,2870025,17224425,26045.3,26048.0,75,225,2025-11-19 12:28:06.011
19/11/2025,12:28:06.962,NIFTY25NOVFUT,9485826,26048.0,150,2870025,17224425,26045.3,26048.0,75,225,2025-11-19 12:28:06.962
19/11/2025,12:28:07.479,NIFTY25NOVFUT,9485826,26048.0,75,2870250,17224425,26045.3,26049.0,75,225,2025-11-19 12:28:07.479
19/11/2025,12:28:07.685,NIFTY25NOVFUT,9485826,26048.0,75,2870250,17224425,26045.3,26049.0,75,225,2025-11-19 12:28:07.685
19/11/2025,12:28:09.214,NIFTY25NOVFUT,9485826,26049.0,75,2870400,17224425,26043.7,26049.0,75,150,2025-11-19 12:28:09.214
19/11/2025,12:28:09.343,NIFTY25NOVFUT,9485826,26049.0,75,2870400,17224425,26043.7,26049.0,75,150,2025-11-19 12:28:09.343
19/11/2025,12:28:09.982,NIFTY25NOVFUT,9485826,26049.0,75,2870400,17224425,26043.7,26049.0,75,150,2025-11-19 12:28:09.982
19/11/2025,12:28:10.959,NIFTY25NOVFUT,9485826,26049.0,75,2870625,17224425,26045.0,26049.5,75,75,2025-11-19 12:28:10.959
19/11/2025,12:28:12.953,NIFTY25NOVFUT,9485826,26049.0,75,2870625,17224425,26046.0,26049.0,225,75,2025-11-19 12:28:12.953
19/11/2025,12:28:14.564,NIFTY25NOVFUT,9485826,26049.0,75,2870625,17224425,26045.9,26049.0,225,225,2025-11-19 12:28:14.564
19/11/2025,12:28:15.721,NIFTY25NOVFUT,9485826,26049.0,75,2870625,17224425,26045.0,26049.0,1575,225,2025-11-19 12:28:15.721
19/11/2025,12:28:15.958,NIFTY25NOVFUT,9485826,26049.0,75,2870625,17224425,26045.0,26049.0,1575,225,2025-11-19 12:28:15.958
19/11/2025,12:28:16.216,NIFTY25NOVFUT,9485826,26049.0,75,2870625,17224425,26045.0,26049.0,1575,225,2025-11-19 12:28:16.216
19/11/2025,12:28:16.956,NIFTY25NOVFUT,9485826,26049.0,75,2870625,17224425,26045.0,26049.0,1575,225,2025-11-19 12:28:16.956
19/11/2025,12:28:17.477,NIFTY25NOVFUT,9485826,26049.6,75,2871000,17224425,26049.0,26049.8,75,300,2025-11-19 12:28:17.477
19/11/2025,12:28:17.682,NIFTY25NOVFUT,9485826,26049.6,75,2871000,17224425,26049.0,26049.8,75,300,2025-11-19 12:28:17.682
19/11/2025,12:28:17.944,NIFTY25NOVFUT,9485826,26049.6,75,2871000,17224425,26049.0,26049.8,75,300,2025-11-19 12:28:17.944
19/11/2025,12:28:19.239,NIFTY25NOVFUT,9485826,26049.6,75,2871000,17224425,26049.0,26049.8,75,300,2025-11-19 12:28:19.239
19/11/2025,12:28:19.450,NIFTY25NOVFUT,9485826,26049.8,75,2871000,17224425,26049.0,26049.8,75,300,2025-11-19 12:28:19.450
19/11/2025,12:28:19.715,NIFTY25NOVFUT,9485826,26049.0,75,2871000,17224425,26049.0,26049.8,75,300,2025-11-19 12:28:19.715
19/11/2025,12:28:20.930,NIFTY25NOVFUT,9485826,26049.0,75,2871150,17224425,26045.0,26049.8,975,300,2025-11-19 12:28:20.930
19/11/2025,12:28:22.266,NIFTY25NOVFUT,9485826,26049.0,75,2871150,17224425,26049.0,26049.8,150,225,2025-11-19 12:28:22.266
19/11/2025,12:28:22.950,NIFTY25NOVFUT,9485826,26049.0,75,2871150,17224425,26049.0,26049.8,150,225,2025-11-19 12:28:22.950
19/11/2025,12:28:26.683,NIFTY25NOVFUT,9485826,26049.8,75,2871225,17224425,26049.0,26049.8,300,150,2025-11-19 12:28:26.683
19/11/2025,12:28:28.083,NIFTY25NOVFUT,9485826,26049.0,75,2871225,17224425,26049.0,26049.8,300,150,2025-11-19 12:28:28.083
19/11/2025,12:28:28.485,NIFTY25NOVFUT,9485826,26049.0,75,2871300,17224425,26049.0,26049.8,225,150,2025-11-19 12:28:28.485
19/11/2025,12:28:28.961,NIFTY25NOVFUT,9485826,26049.0,75,2871300,17224425,26049.0,26049.8,225,150,2025-11-19 12:28:28.961
19/11/2025,12:28:29.672,NIFTY25NOVFUT,9485826,26049.0,75,2871375,17224425,26049.0,26049.8,150,150,2025-11-19 12:28:29.672
19/11/2025,12:28:29.837,NIFTY25NOVFUT,9485826,26049.0,75,2871375,17224425,26049.0,26049.8,150,150,2025-11-19 12:28:29.837
19/11/2025,12:28:30.678,NIFTY25NOVFUT,9485826,26050.0,75,2874225,17224425,26049.1,26050.0,75,2550,2025-11-19 12:28:30.678
19/11/2025,12:28:31.245,NIFTY25NOVFUT,9485826,26050.0,75,2874225,17224425,26049.1,26050.0,75,2550,2025-11-19 12:28:31.245
19/11/2025,12:28:31.751,NIFTY25NOVFUT,9485826,26050.0,75,2874225,17224425,26049.1,26050.0,75,2550,2025-11-19 12:28:31.751
19/11/2025,12:28:32.399,NIFTY25NOVFUT,9485826,26050.0,75,2874375,17224425,26049.0,26050.0,75,2475,2025-11-19 12:28:32.399
19/11/2025,12:28:32.779,NIFTY25NOVFUT,9485826,26049.9,75,2874375,17224425,26049.0,26050.0,75,2475,2025-11-19 12:28:32.779
19/11/2025,12:28:33.257,NIFTY25NOVFUT,9485826,26049.9,75,2879700,17224425,26043.6,26049.0,75,75,2025-11-19 12:28:33.257
19/11/2025,12:28:33.771,NIFTY25NOVFUT,9485826,26049.9,75,2879700,17224425,26043.6,26049.0,75,75,2025-11-19 12:28:33.771
19/11/2025,12:28:34.549,NIFTY25NOVFUT,9485826,26049.0,75,2879700,17224425,26043.6,26049.0,75,75,2025-11-19 12:28:34.549
19/11/2025,12:28:34.684,NIFTY25NOVFUT,9485826,26049.0,75,2879775,17224425,26043.5,26049.8,75,75,2025-11-19 12:28:34.684
19/11/2025,12:28:35.229,NIFTY25NOVFUT,9485826,26043.3,150,2879775,17224425,26043.5,26049.8,75,75,2025-11-19 12:28:35.229
19/11/2025,12:28:35.935,NIFTY25NOVFUT,9485826,26049.8,75,2880075,17224425,26043.3,26049.8,600,75,2025-11-19 12:28:35.935
19/11/2025,12:28:37.225,NIFTY25NOVFUT,9485826,26049.8,75,2880075,17224425,26049.0,26049.7,75,600,2025-11-19 12:28:37.225
19/11/2025,12:28:37.471,NIFTY25NOVFUT,9485826,26049.8,75,2880075,17224425,26049.0,26049.8,75,150,2025-11-19 12:28:37.471
19/11/2025,12:28:38.200,NIFTY25NOVFUT,9485826,26049.6,600,2880075,17224425,26049.0,26049.8,75,150,2025-11-19 12:28:38.200
19/11/2025,12:28:39.246,NIFTY25NOVFUT,9485826,26049.6,600,2881050,17224425,26049.0,26049.8,150,75,2025-11-19 12:28:39.246
19/11/2025,12:28:40.932,NIFTY25NOVFUT,9485826,26049.6,600,2881050,17224425,26049.0,26049.8,150,300,2025-11-19 12:28:40.932
19/11/2025,12:28:41.725,NIFTY25NOVFUT,9485826,26049.0,75,2881050,17224425,26049.0,26049.8,150,300,2025-11-19 12:28:41.725
19/11/2025,12:28:42.473,NIFTY25NOVFUT,9485826,26049.0,75,2881350,17224425,26044.0,26049.9,150,75,2025-11-19 12:28:42.473
19/11/2025,12:28:42.987,NIFTY25NOVFUT,9485826,26049.0,75,2881350,17224425,26044.0,26049.9,150,75,2025-11-19 12:28:42.987
19/11/2025,12:28:43.986,NIFTY25NOVFUT,9485826,26049.0,75,2881350,17224425,26044.0,26049.9,150,75,2025-11-19 12:28:43.986
19/11/2025,12:28:44.214,NIFTY25NOVFUT,9485826,26049.0,75,2881350,17224425,26044.0,26050.0,150,2700,2025-11-19 12:28:44.214
19/11/2025,12:28:45.683,NIFTY25NOVFUT,9485826,26049.9,75,2881425,17224425,26049.8,26050.0,150,2550,2025-11-19 12:28:45.683
19/11/2025,12:28:46.725,NIFTY25NOVFUT,9485826,26049.8,300,2881425,17224425,26049.8,26050.0,150,2550,2025-11-19 12:28:46.725
19/11/2025,12:28:47.428,NIFTY25NOVFUT,9485826,26049.9,75,2882475,17224425,26045.0,26050.0,150,2550,2025-11-19 12:28:47.428
19/11/2025,12:28:47.954,NIFTY25NOVFUT,9485826,26049.9,75,2882475,17224425,26045.0,26050.0,150,2550,2025-11-19 12:28:47.954
19/11/2025,12:28:48.686,NIFTY25NOVFUT,9485826,26049.9,75,2882475,17224425,26045.0,26050.0,150,2550,2025-11-19 12:28:48.686
19/11/2025,12:28:49.003,NIFTY25NOVFUT,9485826,26049.9,75,2882475,17224425,26045.0,26050.0,150,2550,2025-11-19 12:28:49.003
19/11/2025,12:28:50.717,NIFTY25NOVFUT,9485826,26050.0,75,2882625,17224425,26045.0,26049.9,75,225,2025-11-19 12:28:50.717
19/11/2025,12:28:50.942,NIFTY25NOVFUT,9485826,26050.0,75,2882625,17224425,26045.0,26049.9,75,225,2025-11-19 12:28:50.942
19/11/2025,12:28:52.213,NIFTY25NOVFUT,9485826,26050.0,75,2882625,17224425,26045.0,26050.0,75,2850,2025-11-19 12:28:52.213
19/11/2025,12:28:53.209,NIFTY25NOVFUT,9485826,26049.9,300,2882625,17224425,26045.0,26050.0,75,2850,2025-11-19 12:28:53.209
19/11/2025,12:28:53.971,NIFTY25NOVFUT,9485826,26049.9,300,2882925,17224425,26049.9,26050.0,75,2550,2025-11-19 12:28:53.971
19/11/2025,12:28:54.203,NIFTY25NOVFUT,9485826,26049.9,75,2882925,17224425,26049.9,26050.0,75,2550,2025-11-19 12:28:54.203
19/11/2025,12:28:54.700,NIFTY25NOVFUT,9485826,26050.0,225,2882925,17224425,26049.9,26050.0,75,2550,2025-11-19 12:28:54.700
19/11/2025,12:28:55.457,NIFTY25NOVFUT,9485826,26050.0,75,2884725,17224425,26044.7,26050.0,150,975,2025-11-19 12:28:55.457
19/11/2025,12:28:55.939,NIFTY25NOVFUT,9485826,26050.0,75,2884725,17224425,26044.7,26050.0,150,975,2025-11-19 12:28:55.939
19/11/2025,12:28:57.180,NIFTY25NOVFUT,9485826,26050.0,75,2884725,17224425,26045.3,26050.0,600,1050,2025-11-19 12:28:57.180
19/11/2025,12:28:57.474,NIFTY25NOVFUT,9485826,26050.0,75,2884725,17224425,26046.2,26050.0,300,1050,2025-11-19 12:28:57.474
19/11/2025,12:28:57.726,NIFTY25NOVFUT,9485826,26046.5,300,2884725,17224425,26046.2,26050.0,300,1050,2025-11-19 12:28:57.726
19/11/2025,12:28:58.934,NIFTY25NOVFUT,9485826,26046.5,300,2885025,17224425,26044.5,26049.9,375,150,2025-11-19 12:28:58.934
19/11/2025,12:28:59.923,NIFTY25NOVFUT,9485826,26049.9,75,2885025,17207100,26044.5,26049.9,375,150,2025-11-19 12:28:59.923
19/11/2025,12:29:00.685,NIFTY25NOVFUT,9485826,26050.0,75,2885400,17207100,26044.0,26050.0,675,900,2025-11-19 12:29:00.685
19/11/2025,12:29:00.961,NIFTY25NOVFUT,9485826,26050.0,75,2885400,17207100,26044.0,26050.0,675,900,2025-11-19 12:29:00.961
19/11/2025,12:29:01.988,NIFTY25NOVFUT,9485826,26044.0,75,2885400,17207100,26044.0,26050.0,675,900,2025-11-19 12:29:01.988
19/11/2025,12:29:02.200,NIFTY25NOVFUT,9485826,26050.0,75,2885775,17207100,26045.0,26050.0,225,825,2025-11-19 12:29:02.200
19/11/2025,12:29:02.438,NIFTY25NOVFUT,9485826,26050.0,75,2885775,17207100,26045.0,26050.0,225,825,2025-11-19 12:29:02.438
19/11/2025,12:29:02.945,NIFTY25NOVFUT,9485826,26050.0,75,2885775,17207100,26045.0,26050.0,225,825,2025-11-19 12:29:02.945
19/11/2025,12:29:03.971,NIFTY25NOVFUT,9485826,26050.0,75,2885775,17207100,26045.0,26046.8,225,375,2025-11-19 12:29:03.971
19/11/2025,12:29:04.426,NIFTY25NOVFUT,9485826,26046.8,75,2885775,17207100,26045.0,26046.8,225,375,2025-11-19 12:29:04.426
19/11/2025,12:29:04.962,NIFTY25NOVFUT,9485826,26045.0,75,2885775,17207100,26045.0,26046.8,225,375,2025-11-19 12:29:04.962
19/11/2025,12:29:05.444,NIFTY25NOVFUT,9485826,26046.8,150,2886075,17207100,26045.0,26046.8,450,225,2025-11-19 12:29:05.444
19/11/2025,12:29:05.696,NIFTY25NOVFUT,9485826,26046.8,150,2886075,17207100,26045.0,26046.8,450,225,2025-11-19 12:29:05.696
19/11/2025,12:29:06.690,NIFTY25NOVFUT,9485826,26046.8,75,2886075,17207100,26045.0,26046.8,450,225,2025-11-19 12:29:06.690
19/11/2025,12:29:06.931,NIFTY25NOVFUT,9485826,26049.0,75,2886450,17207100,26045.1,26050.0,150,750,2025-11-19 12:29:06.931
19/11/2025,12:29:07.170,NIFTY25NOVFUT,9485826,26049.0,75,2886450,17207100,26045.1,26050.0,150,750,2025-11-19 12:29:07.170
19/11/2025,12:29:07.948,NIFTY25NOVFUT,9485826,26049.0,75,2886450,17207100,26045.1,26050.0,150,750,2025-11-19 12:29:07.948
19/11/2025,12:29:08.987,NIFTY25NOVFUT,9485826,26049.0,75,2886450,17207100,26045.4,26048.0,450,75,2025-11-19 12:29:08.987
19/11/2025,12:29:09.448,NIFTY25NOVFUT,9485826,26045.3,300,2886450,17207100,26045.4,26048.0,450,75,2025-11-19 12:29:09.448
19/11/2025,12:29:09.957,NIFTY25NOVFUT,9485826,26045.0,75,2886450,17207100,26045.4,26048.0,450,75,2025-11-19 12:29:09.957
19/11/2025,12:29:10.746,NIFTY25NOVFUT,9485826,26048.0,75,2888025,17207100,26045.5,26049.9,75,150,2025-11-19 12:29:10.746
19/11/2025,12:29:10.962,NIFTY25NOVFUT,9485826,26048.0,75,2888025,17207100,26045.5,26049.9,75,150,2025-11-19 12:29:10.962
